season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,True,True,1.1306354276813617,1.681144122657826
9,3,Debi Mazar,Debi Mazar,Debi Mazar,True,True,1.0093856654562348,1.1272653779405633
9,4,Chuck Liddell,Chuck Liddell,Chuck Liddell,True,True,0.9805510533884547,0.9776147833552473
9,5,Natalie Coughlin,Michael Irvin,Natalie Coughlin,False,True,1.0456273762933297,3.9131773519581485
9,6,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,True,True,0.99999999985,1.4312887156589895
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,True,True,0.9702970294676013,7.012877197724806
9,8,Aaron Carter,Aaron Carter,Aaron Carter,True,True,1.4705882342128027,12.01080323497174
9,9,Joanna Krupa,Joanna Krupa,Joanna Krupa,True,True,0.9999999991999999,16.212042119772917
9,10,,Kelly Osbourne,Kelly Osbourne,False,False,0.9999999985000001,0.918125924361589
10,1,,Aiden Turner,Buzz Aldrin,False,False,1.013400334905677,0.6240878696465109
10,2,Shannen Doherty,Aiden Turner,Shannen Doherty,False,True,1.0100166943888045,1.1436282322800342
10,3,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True,True,0.9593023254698486,1.106098502560991
10,4,Aiden Turner,Aiden Turner,Aiden Turner,True,True,0.99999999985,1.51220160055928
10,5,Kate Gosselin,Kate Gosselin,Kate Gosselin,True,True,1.1089108908548835,0.7403183269821173
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,True,True,0.99999999975,2.700589193880523
10,7,Pamela Anderson,Niecy Nash,Pamela Anderson,False,True,0.9292035395269792,40.35994480277855
10,8,Niecy Nash,Niecy Nash,Niecy Nash,True,True,0.9259259254972564,3.9213223772764203
10,9,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True,True,0.7407407403017833,20.31722583143422
10,10,,Evan Lysacek,Evan Lysacek,False,False,0.9999999985000001,6.787954706890207
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,True,True,1.172131147425692,1.4295403031331642
11,2,Michael Bolton,Michael Bolton,Michael Bolton,True,True,1.030664395123756,1.3006505125155503
11,3,Margaret Cho,Margaret Cho,Margaret Cho,True,True,0.896739130337311,2.799519468881643
11,4,The Situation,The Situation,The Situation,True,True,0.99999999985,0.9743074123478944
11,5,Florence Henderson,Florence Henderson,Florence Henderson,True,True,0.9572649570904133,3.3295788249955707
11,6,Audrina Patridge,Kyle Massey,Audrina Patridge,False,True,0.99999999975,3.0890547473543615
11,7,Rick Fox,Rick Fox,Rick Fox,True,True,0.820312499769287,25.017298357148963
11,8,Kurt Warner,Kurt Warner,Kurt Warner,True,True,0.7812499996948242,7.075474745983199
11,9,Brandy,Brandy,Brandy,True,True,0.9999999991999999,25.640152837947973
11,10,,Kyle Massey,Kyle Massey,False,False,0.9999999985000001,1.748894310059132
12,1,,Mike Catherwood,Mike Catherwood,False,False,0.9805510533884549,0.8493255976427576
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,True,True,1.0521739129327714,3.4145781196261806
12,3,Wendy Williams,Wendy Williams,Wendy Williams,True,True,0.9951749094095086,2.002611726987881
12,4,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,True,True,0.9342560552323966,4.848585447748847
